user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment,conflict_count,has_conflict,age,signup_year,signup_month,signup_date,account_age_days
USR95322,Advik Sahota,QEHZG5598Z,738867861215,,Kolkata,West Bengal,35085.0,Farmer,,Verified,HIGH,0,0,,,,,
USR23760,Saksham Dave,XSGLB7836O,,2003-10-20,Lucknow,Uttar Pradesh,,Gig Worker,,Verified,MEDIUM,10,1,22.902121834360027,,,,
USR28092,JACK LANKA,VANEO2162B,995050559108,1990-09-14,Delhi,Delhi,47900.0,Freelancer,,Verified,LOW,0,0,36.0,,,,
USR_41268,Onkar Ratta,MTPRE0507U,095974642287,2006-08-28,Jalandhar,Punjab,35166.0,Retired,,Pending,LOW,0,0,20.046543463381244,,,,
USR61809,Arjun Chander,JAWRM6042P,432985168205,,Lucknow,Uttar Pradesh,13796.0,Freelancer,,Verified,LOW,0,0,,,,,
86464,Tanay Sinha,HCUCZ8229X,446687716426,1985-12-29,Ludhiana,Punjab,12686.0,Business Owner,,Verified,MEDIUM,0,0,40.709103353867214,,,,
USR29929,Yamini Kade,BZKKN4437J,025396904187,1978-02-20,Lucknow,Uttar Pradesh,,Business Owner,,Pending,LOW,0,0,48.563997262149215,,,,
USR75086,Caleb Mammen,JVXFL4848V,560545067480,2003-08-30,Ludhiana,Punjab,,Farmer,,Pending,UNKNOWN,0,0,23.041752224503764,,,,
USR-78743,AtharvLall,GUHZF2370F,982856210452,1970-04-22,Jaipur,Rajasthan,18539.0,Self Employed,,Pending,LOW,0,0,56.39698836413415,,,,
USR59316,Prisha Chander,XHBKR5403M,534910368969,1994-02-03,Ludhiana,Punjab,,Unemployed,,Verified,LOW,1,1,32.610540725530456,,,,
USR90387,Aarna Devi,TFWBR0265R,,1988-07-02,Jaipur,Rajasthan,,Business Owner,,Verified,LOW,0,0,38.20123203285421,,,,
USR18776,Pushti Sha,OGVKP1291Y,,1966-08-08,Hyderabad,Telangana,,Student,,Verified,LOW,0,0,60.101300479123886,,,,
USR13953,Mugdha Thaker,GJIRE9459M,,1997-02-11,Amritsar,Punjab,23495.0,Self Employed,,Verified,LOW,9,1,29.587953456536617,,,,
USR33108,Ekavir Bal,CINIP4289D,866127906399,1979-09-18,Bengaluru,Karnataka,,Freelancer,,Verified,LOW,0,0,46.98973305954826,,,,
USR71267,noah wable,WVMOD0360T,497610284249,1964-04-14,Bengaluru,Karnataka,20388.0,Student,,Verified,LOW,0,0,62.417522245037645,,,,
USR82470,Owen Nair,DPRST6843S,645578891743,1972-07-30,Pune,Maharashtra,35891.0,Farmer,,Pending,MEDIUM,0,0,54.12457221081451,,,,
USR91477,Ojas Kumer,AXMWY7954C,931168320493,1961-08-03,Ludhiana,Punjab,28545.0,Unemployed,,Verified,LOW,0,0,65.11430527036276,,,,
USR86614,Vedika Lanka,GFSVQ7146K,478547789264,1968-12-10,Pune,Maharashtra,37338.0,Student,,Verified,LOW,0,0,57.76043805612594,,,,
USR-23635,Tanmayi Sunder,DRXCQ2579G,796306366826,,Lucknow,Uttar Pradesh,20317.0,Gig Worker,,Verified,MEDIUM,0,0,,,,,
USR63684,Vasana Naidu,FYYYZ4211T,413928195585,1974-04-11,Jalandhar,Punjab,39085.0,Freelancer,2025-11-30 20:37:22,Verified,LOW,0,0,52.427104722792606,2025.0,11.0,2025-11-30,287.0
USR40151,Lipika Pant,ZCYWL1620R,459607504259,2004-11-12,Jalandhar,Punjab,13296.0,Student,,Verified,LOW,0,0,21.83709787816564,,,,
USR60198,Nihal Sunder,GMKIH3940L,167222122123,1992-04-06,Bengaluru,Karnataka,39252.0,Student,,Verified,LOW,0,0,34.4394250513347,,,,
USR77081,Ethan Dora,BZDWK4883M,394394089450,1963-03-01,Lucknow,Uttar Pradesh,31508.0,Unemployed,2024-10-22 10:15:48,Verified,HIGH,0,0,63.540041067761805,2024.0,10.0,2024-10-22,691.0
USR84077,Neelima Sem,DKNSH2914F,810082123328,1980-12-28,Ludhiana,Punjab,27515.0,Self Employed,,Verified,MEDIUM,0,0,45.711156741957566,,,,
USR59175,Ansh Virk,AMBPC6856J,400683346413,1972-03-27,Mumbai,Maharashtra,16030.0,Student,,Verified,MEDIUM,0,0,54.46680355920602,,,,
USR-64276,Upasna Subramanian,OPVCG1908W,024162763322,1974-01-09,Lucknow,Uttar Pradesh,19115.0,Farmer,,Verified,UNKNOWN,0,0,52.67898699520876,,,,
USR-64768,Warda Bhasin,DJJZS1635L,137833448545,,Mumbai,Maharashtra,32936.0,Self Employed,,Verified,UNKNOWN,0,0,,,,,
USR16446,Yagnesh Roy,,,1997-09-19,Chennai,Tamil Nadu,,Salaried,,Verified,HIGH,8,1,28.985626283367555,,,,
USR22470,Ubika Saraf,GEZXL8319T,,1985-04-21,Bengaluru,Karnataka,12941.0,Student,,Rejected,MEDIUM,10,1,41.399041752224505,,,,
USR78907,Garima Sangha,NTGKP6262I,598183331447,1977-09-14,Amritsar,Punjab,,Salaried,,Pending,LOW,10,1,48.99931553730322,,,,
USR55616,Jasmit Nadkarni,EGCOO2505G,073835878098,1993-04-02,Bengaluru,Karnataka,17065.0,Retired,,Verified,LOW,0,0,33.451060917180016,,,,
USR11988,Udarsh Khalsa,,005370369333,1973-09-08,Bengaluru,Karnataka,57849.0,Self Employed,,Verified,LOW,0,0,53.01574264202601,,,,
USR78571,GautamiSanghvi,PXLGX1420K,497306999651,1977-10-18,Amritsar,Punjab,25062.0,Student,,Verified,LOW,1,1,48.90622861054072,,,,
USR26915,AARNA DESHMUKH,VVYMS8300C,,,Chennai,Tamil Nadu,,Unemployed,,Verified,LOW,10,1,,,,,
USR71883,amara oak,OWXKX2821C,619501763518,1995-09-09,Bengaluru,Karnataka,,Retired,,Rejected,MEDIUM,1,1,31.014373716632445,,,,
USR67037,Lucky Konda,CRHRQ9787A,892466941914,1991-12-26,Lucknow,Uttar Pradesh,18960.0,Business Owner,2024-08-28 09:57:39,Verified,LOW,0,0,34.718685831622174,2024.0,8.0,2024-08-28,747.0
USR28669,GEORGE DAR,QLRNP1618Y,,1978-01-04,Mumbai,Maharashtra,,Self Employed,,Rejected,MEDIUM,0,0,48.69267624914442,,,,
USR74087,Qarin Sengupta,TGCGN4731B,507933608333,1987-01-26,Amritsar,Punjab,11942.0,Salaried,,Verified,MEDIUM,0,0,39.6331279945243,,,,
97475,BIMALA RAO,ZWIEO8960X,581975734236,1977-04-08,Hyderabad,Telangana,,Farmer,,Verified,LOW,0,0,49.43463381245722,,,,
USR29005,Wazir Ghose,SVTQR6809M,480853410333,1993-12-19,Delhi,Delhi,,Student,,Verified,LOW,0,0,32.73648186173853,,,,
USR78059,Vasana Palla,CALNW0586S,754746798970,1991-04-27,Mumbai,Maharashtra,29828.0,Farmer,,Verified,LOW,0,0,35.383983572895275,,,,
USR15644,Anita Balay,VZJON4073W,170203765815,1994-05-12,Bengaluru,Karnataka,,Unemployed,,Verified,MEDIUM,0,0,32.342231348391515,,,,
USR53776,Advaith Sur,ORRQC4341P,936833471186,1980-08-16,Amritsar,Punjab,29723.0,Gig Worker,,Pending,LOW,1,1,46.078028747433265,,,,
USR35738,Nachiket Saini,MPBCY9061Z,292718782869,1982-06-19,Ludhiana,Punjab,9263.0,Retired,,Rejected,LOW,0,0,44.238193018480494,,,,
USR30688,Pooja Koshy,YVQMB3903Y,,,Jaipur,Rajasthan,55299.0,Salaried,2025-05-12 21:33:30,Verified,LOW,8,1,,2025.0,5.0,2025-05-12,489.0
43692,Kashvi Bal,XCBFC3495G,,,Hyderabad,Telangana,26181.0,Retired,,Verified,LOW,10,1,,,,,
USR_13931,VRINDA SODHI,JAXKB7158R,232101145647,1994-10-03,Jalandhar,Punjab,,Salaried,,Verified,HIGH,0,0,31.94798083504449,,,,
USR16890,UnniPurohit,SRFPG7183S,128864682279,1997-12-05,Lucknow,Uttar Pradesh,19516.0,Farmer,,Verified,MEDIUM,0,0,28.774811772758383,,,,
USR60800,benjamin hayre,SKOEK2388A,147298513689,,Jalandhar,Punjab,,Farmer,2024-03-23 05:13:33,Verified,MEDIUM,9,1,,2024.0,3.0,2024-03-23,905.0
USR43778,Megha Saran,FBYVC9113B,,1995-01-26,Ludhiana,Punjab,27468.0,Student,,Verified,MEDIUM,10,1,31.633127994524298,,,,
USR70695,Darsh Rana,HOHLD1406O,663470616081,1986-05-13,Bengaluru,Karnataka,32215.0,Business Owner,,Failed,LOW,7,1,40.33949349760438,,,,
USR82121,Maanas Kumar,PHLMO0100D,307093238655,2000-06-15,Mumbai,Maharashtra,50644.0,Student,,Verified,LOW,0,0,26.247775496235455,,,,
USR28535,Laban Sinha,RFMPF5305S,,1998-11-28,Pune,Maharashtra,23001.0,Retired,2024-12-31 23:15:38,Pending,MEDIUM,0,0,27.794661190965094,2024.0,12.0,2024-12-31,621.0
USR61312,Manbir Kar,OYDNZ6406F,545126921501,2005-03-19,Hyderabad,Telangana,,Farmer,,Rejected,LOW,0,0,21.489390828199863,,,,
USR17743,Sneha Palan,HXELE7376C,,1986-09-22,Kolkata,West Bengal,30964.0,Student,,Verified,LOW,9,1,39.97809719370294,,,,
USR75869,Triya Sodhi,KUCXN4426K,,1999-09-16,Amritsar,Punjab,17400.0,Salaried,,Pending,MEDIUM,10,1,26.99520876112252,,,,
USR88971,Aahana Goda,KAPYK2586P,815430708070,1963-08-19,Amritsar,Punjab,8961.0,Student,2025-03-06 04:52:16,Verified,MEDIUM,0,0,63.07186858316222,2025.0,3.0,2025-03-06,557.0
USR25394,Urmi Dar,WDKKW7243D,,1983-11-17,Pune,Maharashtra,39353.0,Retired,,Verified,MEDIUM,0,0,42.82546201232033,,,,
USR-36110,Bhavya D0shi,ZZLBX3053J,774946361922,1979-07-29,Pune,Maharashtra,,Freelancer,,Verified,LOW,0,0,47.12936344969199,,,,
USR28927,chandran nori,MIAZT7616U,,,Hyderabad,Telangana,34414.0,Unemployed,,Verified,MEDIUM,10,1,,,,,
USR12524,Yauvani Deep,QGIWK2792H,279292452932,1985-01-24,Pune,Maharashtra,34793.0,Unemployed,,Pending,MEDIUM,0,0,41.637234770705,,,,
USR87061,Zayyan Parmar,OESTV5644M,421249135042,1994-03-02,Bengaluru,Karnataka,34016.0,Retired,,Rejected,LOW,0,0,32.53661875427789,,,,
USR_70121,Manan Kala,,491734893582,2003-05-16,Amritsar,Punjab,12490.0,Gig Worker,,Verified,UNKNOWN,0,0,23.33196440793977,,,,
USR43558,Bhavya Kala,FMZBB8469X,041614978824,2005-04-29,Kolkata,West Bengal,,Student,,Verified,UNKNOWN,1,1,21.377138945927445,,,,
USR_97255,Hardik Varty,IKVCL9739N,018969410775,1985-07-09,Bengaluru,Karnataka,,Salaried,2024-08-23 10:00:42,Pending,LOW,0,0,41.18275154004107,2024.0,8.0,2024-08-23,752.0
USR41850,Anamika Jayaraman,ZWSDQ5958Z,366997497248,2004-11-19,Pune,Maharashtra,,Unemployed,2024-03-27 02:50:53,Verified,LOW,0,0,21.817932922655714,2024.0,3.0,2024-03-27,901.0
USR61425,Rajata Panchal,FDJQL7637C,252492316041,1987-11-27,Amritsar,Punjab,25830.0,Farmer,,Verified,LOW,0,0,38.79808350444901,,,,
USR11654,Shivansh Dhar,VJCFR9167X,,1986-03-23,Lucknow,Uttar Pradesh,19879.0,Business Owner,,Verified,LOW,0,0,40.479123887748116,,,,
USR60435,Manan Desai,CZDOZ3023Y,,1971-11-14,Lucknow,Uttar Pradesh,,Self Employed,,Pending,LOW,1,1,54.83367556468173,,,,
USR-69566,Pooja Sanghvi,KKXGH7093M,594632399328,,Mumbai,Maharashtra,40871.0,Gig Worker,,Verified,LOW,1,1,,,,,
USR_97911,aarush hora,UJAKN1892R,889800106898,1974-09-25,Bengaluru,Karnataka,23895.0,Freelancer,,Verified,LOW,0,0,51.969883641341546,,,,
USR96415,Aadi Batta,JYKPY8685U,801249909011,1975-10-05,Bengaluru,Karnataka,16142.0,Gig Worker,,Verified,MEDIUM,1,1,50.94318959616701,,,,
USR41370,Lajita Mammen,TCFIS9755D,047045008750,1969-05-19,Ludhiana,Punjab,74744.0,Farmer,,Verified,MEDIUM,0,0,57.322381930184804,,,,
USR46200,Bakhshi Sah0ta,WALTW7577C,201060880121,2001-04-10,Hyderabad,Telangana,24694.0,Gig Worker,,Verified,LOW,0,0,25.429158110882955,,,,
USR30125,Dakshesh Dhaliwal,AFYDX3604O,,1993-02-05,Jaipur,Rajasthan,22236.0,Business Owner,,Rejected,LOW,1,1,33.60438056125941,,,,
USR51640,Hitesh Raj,UCIYS7654M,,1997-12-27,Mumbai,Maharashtra,65510.0,Business Owner,,Rejected,LOW,0,0,28.71457905544148,,,,
USR26148,Tarak Butala,LSMZC5449O,594773990154,1988-07-08,Bengaluru,Karnataka,30461.0,Salaried,,Verified,HIGH,0,0,38.18480492813142,,,,
USR72127,Turvi Grover,CQVNW6926I,192610278127,1989-04-19,Jaipur,Rajasthan,,Retired,2024-08-03 00:38:25,Verified,MEDIUM,0,0,37.40451745379877,2024.0,8.0,2024-08-03,772.0
USR96477,TANVEER NARULA,SDAVW9214Z,097914045328,1972-07-15,Chennai,Tamil Nadu,14759.0,Retired,,Rejected,LOW,0,0,54.16563997262149,,,,
USR-18944,Mekhala Golla,,885036777734,1991-07-25,Chennai,Tamil Nadu,26904.0,Farmer,,Verified,LOW,0,0,35.14031485284052,,,,
USR38760,Lajita Dewan,,604812343829,1962-09-08,Kolkata,West Bengal,9392.0,Salaried,,Verified,LOW,1,1,64.0164271047228,,,,
USR-35147,Krishna Deo,HWFFO1057B,517870181300,1973-11-24,Ludhiana,Punjab,50039.0,Salaried,,Verified,HIGH,0,0,52.80492813141684,,,,
USR23153,Elijah Golla,,,1997-05-23,Jalandhar,Punjab,25280.0,Salaried,,Failed,LOW,0,0,29.311430527036276,,,,
USR43985,Elijah Basu,OWYWO4172Z,332420207218,2001-11-29,Jaipur,Rajasthan,,Farmer,,Verified,MEDIUM,8,1,24.791238877481177,,,,
USR13270,Gautam Joshi,KNUKD8690E,194936825866,1961-02-02,Pune,Maharashtra,17781.0,Self Employed,,Verified,MEDIUM,6,1,65.6125941136208,,,,
USR_87067,Ayaan Bhatt,IYPWZ2082B,073336789186,1997-06-03,Bengaluru,Karnataka,,Farmer,,Verified,MEDIUM,0,0,29.281314168377822,,,,
USR14736,Harini Keer,SQFFV1099G,900845213060,1969-07-11,Mumbai,Maharashtra,29346.0,Retired,,Verified,MEDIUM,0,0,57.177275838466805,,,,
USR26503,Ranbir Mannan,UCYSG5949W,445635673241,2006-02-08,Amritsar,Punjab,9785.0,Farmer,,Pending,LOW,9,1,20.5968514715948,,,,
USR55516,Yutika Ravi,HCPGG8914B,919840435976,1973-06-03,Kolkata,West Bengal,37564.0,Unemployed,,Pending,LOW,0,0,53.281314168377826,,,,
USR45907,Hardik Ramesh,GUXKU9088P,625394319187,1970-07-22,Delhi,Delhi,,Gig Worker,,Verified,MEDIUM,0,0,56.14784394250513,,,,
USR20548,Wridesh Joshi,TZSQX5220Z,031743351796,2007-05-12,Mumbai,Maharashtra,31338.0,Student,,Verified,LOW,0,0,19.342915811088297,,,,
USR37307,Balendra Verma,UOHEX6486E,,2001-07-17,Delhi,Delhi,37243.0,Unemployed,,Verified,MEDIUM,10,1,25.16084873374401,,,,
USR63941,Lopa Shanker,TIVNP2437G,474938292882,1975-04-08,Jaipur,Rajasthan,18089.0,Student,2025-07-12 11:33:35,Pending,MEDIUM,0,0,51.436002737850785,2025.0,7.0,2025-07-12,428.0
USR62335,0rinder Tiwari,KVIYF7177S,372214729134,1967-11-21,Pune,Maharashtra,15492.0,Student,,Verified,MEDIUM,9,1,58.8145106091718,,,,
USR82534,Ekalinga Deep,QMKMZ5656K,,1991-01-11,Bengaluru,Karnataka,22070.0,Student,,Verified,LOW,1,1,35.67419575633128,,,,
USR28153,Janaki Korpal,AHFWQ6201Q,,1974-06-16,Mumbai,Maharashtra,11531.0,Freelancer,,Verified,LOW,0,0,52.24640657084189,,,,
USR-97134,Reva Vaidya,HBVQA7004Y,,1964-05-10,Ludhiana,Punjab,55126.0,Freelancer,,Pending,MEDIUM,0,0,62.34633812457221,,,,
USR31953,ekani kar,KRJBG3843A,316943402972,2002-08-16,Jaipur,Rajasthan,,Unemployed,,Verified,MEDIUM,1,1,24.079397672826833,,,,
USR18418,Vrishti Chaudry,QRINM1863X,179723824180,1987-01-08,Kolkata,West Bengal,56033.0,Student,,Verified,HIGH,0,0,39.68240930869268,,,,
USR73856,Damini Atwal,,,1980-05-07,Chennai,Tamil Nadu,,Unemployed,,Verified,MEDIUM,9,1,46.35455167693361,,,,
USR34047,Nirja Goyal,EDJFV6786Z,354284252681,,Chennai,Tamil Nadu,51334.0,Freelancer,,Verified,HIGH,0,0,,,,,
USR11358,Ria Sampath,CBDMJ0910P,760403432642,2003-10-11,Ludhiana,Punjab,103450.0,Business Owner,,Verified,LOW,0,0,22.926762491444215,,,,
USR64107,Gauri Vora,,870429928177,1970-06-30,Pune,Maharashtra,12867.0,Salaried,,Verified,LOW,0,0,56.20807665982204,,,,
USR35594,Indira Ramachandran,EGAVG3762P,,1962-04-28,Chennai,Tamil Nadu,19286.0,Farmer,,Verified,MEDIUM,1,1,64.38056125941137,,,,
USR30418,Akshay Sampath,WNKPD6528H,,1965-01-23,Lucknow,Uttar Pradesh,17322.0,Unemployed,,Verified,LOW,10,1,61.63997262149213,,,,
USR54584,CHAMELI DUBEY,CZJQV2137R,424702742867,,Mumbai,Maharashtra,22185.0,Self Employed,,Verified,LOW,0,0,,,,,
USR48110,Brinda Manda,RYYOT8872F,,1964-03-17,Amritsar,Punjab,21983.0,Business Owner,,Verified,HIGH,9,1,62.49418206707735,,,,
USR95700,deepa bhalla,RTWID8017S,474803829105,1991-09-12,Amritsar,Punjab,33200.0,Business Owner,,Verified,LOW,1,1,35.006160164271044,,,,
USR78337,Pranit Oza,NZBEB2190H,618150795338,1988-12-02,Lucknow,Uttar Pradesh,22457.0,Gig Worker,,Verified,MEDIUM,0,0,37.782340862423,,,,
USR55461,UnnatiKeer,FQVDC8747O,373868774560,2001-11-25,Jalandhar,Punjab,,Business Owner,,Rejected,LOW,0,0,24.802190280629706,,,,
USR99445,Krisha Seshadri,HFMYY3894Z,769553266511,2001-09-17,Delhi,Delhi,48549.0,Business Owner,,Verified,MEDIUM,0,0,24.99110198494182,,,,
USR-26939,SamuelMitter,KIWOV8722C,633005029504,1998-12-04,Amritsar,Punjab,,Retired,,Verified,HIGH,0,0,27.7782340862423,,,,
USR65086,Shivansh Prasad,MRRMZ0743S,,1962-03-10,Ludhiana,Punjab,,Freelancer,2024-07-06 03:48:49,Rejected,LOW,0,0,64.51471594798083,2024.0,7.0,2024-07-06,800.0
USR51330,Manya Bali,SKOUH9200Y,019951099623,1972-10-30,Pune,Maharashtra,,Student,,Verified,LOW,0,0,53.87268993839836,,,,
USR34172,Faras Warrior,ZWOCQ9001I,054598187074,2001-10-05,Mumbai,Maharashtra,14529.0,Self Employed,,Verified,MEDIUM,0,0,24.941820670773442,,,,
USR35378,Ishita Mane,LZRJS8644Y,,1981-01-26,Jalandhar,Punjab,,Retired,,Verified,MEDIUM,1,1,45.63175906913073,,,,
USR28471,Umang Kumer,LBEYE6919S,,1991-02-13,Jaipur,Rajasthan,13774.0,Freelancer,,Verified,MEDIUM,0,0,35.58384668035592,,,,
65406,Bhavini Solanki,JVEIG3097A,088850972945,1960-11-08,Jaipur,Rajasthan,20271.0,Unemployed,,Pending,LOW,0,0,65.84804928131418,,,,
USR16212,sanya sawhney,TBUDL4683R,204949751167,2001-07-23,Kolkata,West Bengal,13924.0,Freelancer,2024-09-22 17:09:54,Verified,MEDIUM,0,0,25.144421629021217,2024.0,9.0,2024-09-22,721.0
USR60904,Suhani Oza,WYWQI1618A,519863482284,1996-03-21,Ludhiana,Punjab,,Self Employed,,Verified,LOW,0,0,30.483230663928815,,,,
USR68308,Sim0n Ramanathan,LQESD0778U,,2005-10-17,Delhi,Delhi,22653.0,Gig Worker,,Verified,MEDIUM,9,1,20.908966461327857,,,,
USR73563,Unnati Kala,MFVPE2019P,,1969-06-19,Mumbai,Maharashtra,,Freelancer,,Pending,LOW,0,0,57.23750855578371,,,,
USR70255,Ekani Dua,ACUZI3478D,091511220613,,Chennai,Tamil Nadu,25961.0,Freelancer,,Verified,MEDIUM,9,1,,,,,
USR66657,Shivansh Goda,TDJCU7352U,,1972-04-10,Jaipur,Rajasthan,,Student,,Verified,LOW,10,1,54.42847364818618,,,,
USR50077,Fiyaz Sunder,,236728535785,1962-05-11,Chennai,Tamil Nadu,15682.0,Farmer,2024-11-28 18:59:06,Pending,LOW,1,1,64.34496919917865,2024.0,11.0,2024-11-28,654.0
USR81075,Ishani Naidu,LOLHX7170K,257104790985,2004-02-17,Lucknow,Uttar Pradesh,40563.0,Unemployed,,Verified,HIGH,0,0,22.573579739904176,,,,
USR_93584,Neel Deo,AFBMT0794B,,1992-08-21,Mumbai,Maharashtra,46356.0,Retired,,Verified,LOW,0,0,34.064339493497606,,,,
USR88185,Vinaya Dora,KIYZN4444E,195238355149,1982-12-13,Mumbai,Maharashtra,,Farmer,,Verified,LOW,0,0,43.75359342915811,,,,
USR79161,Liam Goyal,LYIMT9308V,816006457893,2001-12-07,Lucknow,Uttar Pradesh,9335.0,Student,,Pending,UNKNOWN,0,0,24.76933607118412,,,,
USR50757,Barkha Parmer,UNJBD0770C,180664357027,1967-11-11,Chennai,Tamil Nadu,21395.0,Self Employed,,Pending,LOW,0,0,58.841889117043124,,,,
USR10799,Indira Cheema,GCEYH8996T,014014541696,2004-08-04,Lucknow,Uttar Pradesh,27782.0,Unemployed,,Pending,MEDIUM,0,0,22.11088295687885,,,,
USR88938,Jagat Kapoor,RCVDY9085U,691463251198,1994-02-03,Chennai,Tamil Nadu,50341.0,Freelancer,,Verified,MEDIUM,0,0,32.610540725530456,,,,
USR22437,Samarth Saraf,KLAWR0922Q,046248566958,1978-01-24,Amritsar,Punjab,,Farmer,,Verified,MEDIUM,0,0,48.63791923340178,,,,
USR18684,Lipika Balasubramanian,UADKZ7560A,,1966-07-28,Ludhiana,Punjab,16244.0,Business Owner,2026-02-11 02:43:34,Pending,LOW,8,1,60.13141683778234,2026.0,2.0,2026-02-11,215.0
